Timestamp,Water in ,Water out,Solid in,Solid out,,Translated ,,Water in ,Water out,Solid in,Solid out
08/27/2020 21:04,,X,,,,,08/27/2020 21:04,,1,,
08/28/2020 05:25,,x,,,,,08/28/2020 05:25,,1,,
08/28/2020 05:30,,,,x,,,08/28/2020 05:30,,,,1
08/28/2020 07:26,,X,,,,,08/28/2020 07:26,,1,,
08/28/2020 07:29,X,,,,,,08/28/2020 07:29,1,,,
08/28/2020 08:11,,,X,,,,08/28/2020 08:11,,,1,
08/28/2020 09:04,X,,,,,,08/28/2020 09:04,1,,,
08/28/2020 09:13,,,,X,,,08/28/2020 09:13,,,,1
08/28/2020 09:31,,1,,,,,08/28/2020 09:31,,1,,
08/28/2020 11:20,,1,,,,,08/28/2020 11:20,,1,,
08/28/2020 12:00,,,1,,,,08/28/2020 12:00,,,1,
08/28/2020 13:25,,x,,,,,08/28/2020 13:25,,1,,
08/28/2020 13:30,,,,x,,,08/28/2020 13:30,,,,1
08/28/2020 13:47,x,,,,,,08/28/2020 13:47,1,,,
08/28/2020 15:21,,1,,,,,08/28/2020 15:21,,1,,
08/28/2020 15:50,,,x,,,,08/28/2020 15:50,,,1,
08/28/2020 17:15,1,,,,,,08/28/2020 17:15,1,,,
08/28/2020 17:20,,1,,,,,08/28/2020 17:20,,1,,
08/28/2020 18:57,,a,,,,,08/28/2020 18:57,,1,,
08/28/2020 19:02,,,,a,,,08/28/2020 19:02,,,,1
08/28/2020 19:05,,,a,,,,08/28/2020 19:05,,,1,
08/28/2020 19:20,a,,,,,,08/28/2020 19:20,1,,,
08/28/2020 20:07,1,,,,,,08/28/2020 20:07,1,,,
08/28/2020 20:27,1,,,,,,08/28/2020 20:27,1,,,
08/28/2020 20:48,,1,,,,,08/28/2020 20:48,,1,,
08/28/2020 22:30,,1,,,,,08/28/2020 22:30,,1,,
08/29/2020 06:40,,1,,1,,,08/29/2020 06:40,,1,,1
08/29/2020 08:00,,,C,,,,08/29/2020 08:00,,,1,
08/29/2020 08:43,,W,,,,,08/29/2020 08:43,,1,,
08/29/2020 09:15,,1,,1,,,08/29/2020 09:15,,1,,1
08/29/2020 09:35,1,,,,,,08/29/2020 09:35,1,,,
08/29/2020 11:50,,x,,,,,08/29/2020 11:50,,1,,
08/29/2020 12:03,,,x,,,,08/29/2020 12:03,,,1,
08/29/2020 14:18,,X,,,,,08/29/2020 14:18,,1,,
08/29/2020 14:38,X,,,,,,08/29/2020 14:38,1,,,
08/29/2020 15:33,,Xx,,,,,08/29/2020 15:33,,-1,,
8/29/2020 16:44,X,,x,,,,8/29/2020 16:44,1,,1,
08/29/2020 16:36,,X,,,,,08/29/2020 16:36,,1,,
08/29/2020 16:49,X,,,,,,08/29/2020 16:49,1,,,
08/29/2020 16:54,X,,,,,,08/29/2020 16:54,1,,,
08/29/2020 17:26,X,,,,,,08/29/2020 17:26,1,,,
08/29/2020 19:09,,,x,,,,08/29/2020 19:09,,,1,
08/29/2020 19:19,,x,,,,,08/29/2020 19:19,,1,,
08/29/2020 19:19,,,,x,,,08/29/2020 19:19,,,,1
08/29/2020 20:12,W,,,,,,08/29/2020 20:12,1,,,
08/29/2020 20:39,,Q,,W,,,08/29/2020 20:39,,1,,1
08/30/2020 06:00,,x,,x,,,08/30/2020 06:00,,1,,1
08/30/2020 08:10,,,X,,,,08/30/2020 08:10,,,1,
08/30/2020 08:15,,X,,,,,08/30/2020 08:15,,1,,
08/30/2020 08:29,X,,,,,,08/30/2020 08:29,1,,,
08/30/2020 09:31,X,,,,,,08/30/2020 09:31,1,,,
08/30/2020 09:51,,X,,X,,,08/30/2020 09:51,,1,,1
08/30/2020 10:39,X,,,,,,08/30/2020 10:39,1,,,
08/30/2020 11:55,,c,,,,,08/30/2020 11:55,,1,,
08/30/2020 12:04,,,c,,,,08/30/2020 12:04,,,1,
08/30/2020 12:18,x,,,,,,08/30/2020 12:18,1,,,
08/30/2020 13:18,W,,,,,,08/30/2020 13:18,1,,,
08/30/2020 13:23,,X,,,,,08/30/2020 13:23,,1,,
08/30/2020 14:10,x,,,,,,08/30/2020 14:10,1,,,
08/30/2020 14:15,,X,,,,,08/30/2020 14:15,,1,,
